timestamp,i1_pos_switch_baseband,i1_pos_switch_fm_demodulated,i2_pos_switch_baseband,i2_pos_switch_fm_demodulated,m1_speed_baseband,m1_speed_fm_demodulated,o7_valve_baseband,o7_valve_fm_demodulated,o8_compressor_baseband,o8_compressor_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,i5_light_barrier_baseband,i5_light_barrier_fm_demodulated,current_state_binary
2023-02-06 14:25:56,0.0,0.109041,0.0,0.454534,0.510929,0.711351,0.0,0.407177,0.151421,0.145594,0.0,0.162974,0.086602,0.19146,0.0,0.06455,0.0,0.62229,1
2023-02-06 14:25:58,0.0,0.204647,0.0,0.529318,0.510929,0.755547,0.0,0.41506,0.151421,0.176669,0.0,0.081031,0.086602,0.119344,0.0,0.116389,0.0,0.719533,1
2023-02-06 14:26:00,0.0,0.137555,0.0,0.476974,0.510929,0.714527,0.0,0.37572,0.151421,0.225261,0.0,0.106432,0.086602,0.115865,0.0,0.141376,0.0,0.654771,1
2023-02-06 14:26:02,0.0,0.156971,0.0,0.493171,0.510929,0.665007,0.0,0.430571,0.151421,0.119153,0.0,0.145616,0.086602,0.207883,0.0,0.056484,0.0,0.66899,1
2023-02-06 14:26:04,0.0,0.209944,0.0,0.534577,0.510929,0.702837,0.0,0.396019,0.151421,0.181547,0.0,0.03764,0.086602,0.095473,0.0,0.163406,0.0,0.727895,1
2023-02-06 14:26:06,0.0,0.104466,0.0,0.452246,0.510929,0.742361,0.0,0.3596,0.151421,0.251071,0.0,0.139598,0.086602,0.10816,0.0,0.13654,0.0,0.617826,1
2023-02-06 14:26:08,0.0,0.138457,0.0,0.478776,0.510929,0.727876,0.0,0.423837,0.151421,0.156327,0.0,0.157771,0.086602,0.211464,0.0,0.056784,0.0,0.650794,1
2023-02-06 14:26:10,0.0,0.180084,0.0,0.510754,0.510929,0.704393,0.0,0.387685,0.151421,0.175643,0.0,0.066708,0.086602,0.115234,0.0,0.152338,0.0,0.698468,1
2023-02-06 14:26:12,0.0,0.113279,0.0,0.458481,0.510929,0.720943,0.0,0.369536,0.151421,0.2499,0.0,0.134304,0.086602,0.098163,0.0,0.128968,0.0,0.623866,1
2023-02-06 14:26:14,0.0,0.138669,0.0,0.477619,0.510929,0.722108,0.0,0.399841,0.151421,0.205952,0.0,0.130121,0.086602,0.152139,0.0,0.098012,0.0,0.654922,1
2023-02-06 14:26:16,0.0,0.143251,0.0,0.481158,0.510929,0.69865,0.0,0.383049,0.151421,0.201595,0.0,0.107326,0.086602,0.114584,0.0,0.13237,0.0,0.657868,1
2023-02-06 14:26:18,0.0,0.137087,0.0,0.476572,0.510929,0.700357,0.0,0.397071,0.151421,0.214032,0.0,0.131327,0.086602,0.140629,0.0,0.100624,0.0,0.649675,1
2023-02-06 14:26:20,0.0,0.174112,0.0,0.505596,0.510929,0.729775,0.0,0.396426,0.151421,0.162451,0.0,0.087722,0.086602,0.151769,0.0,0.131757,0.0,0.692637,1
2023-02-06 14:26:22,0.0,0.145646,0.0,0.484074,0.510929,0.739374,0.0,0.369534,0.151421,0.168888,0.0,0.096372,0.086602,0.096668,0.0,0.157527,0.0,0.656967,1
2023-02-06 14:26:24,0.0,0.116679,0.0,0.461683,0.510929,0.719221,0.0,0.391254,0.151421,0.215077,0.0,0.140747,0.086602,0.116723,0.0,0.102256,0.0,0.632206,1
2023-02-06 14:26:26,0.0,0.161715,0.0,0.497208,0.510929,0.694881,0.0,0.409032,0.151421,0.204955,0.0,0.118583,0.086602,0.163834,0.0,0.09358,0.0,0.676312,1
2023-02-06 14:26:28,0.0,0.169317,0.0,0.503076,0.510929,0.691847,0.0,0.389807,0.151421,0.17079,0.0,0.091677,0.086602,0.148683,0.0,0.136953,0.0,0.682411,1
2023-02-06 14:26:30,0.0,0.139298,0.0,0.47899,0.510929,0.710422,0.0,0.390696,0.151421,0.193879,0.0,0.118389,0.086602,0.127698,0.0,0.116079,0.0,0.65677,1
2023-02-06 14:26:32,0.0,0.175011,0.0,0.506486,0.510929,0.72539,0.0,0.40853,0.151421,0.219433,0.0,0.102919,0.086602,0.17288,0.0,0.106547,0.0,0.687363,1
2023-02-06 14:26:34,0.0,0.180298,0.0,0.510064,0.510929,0.718214,0.0,0.376436,0.151421,0.165862,0.0,0.066893,0.086602,0.171729,0.0,0.163522,0.0,0.698008,1
2023-02-06 14:26:36,0.0,0.115429,0.0,0.459353,0.510929,0.709133,0.0,0.374688,0.151421,0.163572,0.0,0.129995,0.086602,0.098421,0.0,0.131108,0.0,0.629522,1
2023-02-06 14:26:38,0.0,0.145889,0.0,0.483348,0.510929,0.721706,0.0,0.413822,0.151421,0.235241,0.0,0.134108,0.086602,0.136124,0.0,0.079796,0.0,0.658457,1
2023-02-06 14:26:40,0.0,0.169772,0.0,0.5023,0.510929,0.721897,0.0,0.396226,0.151421,0.2188,0.0,0.092712,0.086602,0.167698,0.0,0.126043,0.0,0.688635,1
2023-02-06 14:26:42,0.0,0.140641,0.0,0.480228,0.510929,0.696658,0.0,0.393132,0.151421,0.192126,0.0,0.123964,0.086602,0.123134,0.0,0.112002,0.0,0.651494,1
2023-02-06 14:26:44,0.0,0.158551,0.0,0.494616,0.510929,0.685162,0.0,0.403411,0.151421,0.218098,0.0,0.111464,0.086602,0.14152,0.0,0.107301,0.0,0.675116,1
2023-02-06 14:26:46,0.0,0.147067,0.0,0.485784,0.510929,0.707018,0.0,0.384552,0.151421,0.192399,0.0,0.108607,0.086602,0.139302,0.0,0.129904,0.0,0.66147,1
