timestamp,i4_light_barrier_baseband,i4_light_barrier_am_demodulated,m1_speed_baseband,m1_speed_am_demodulated,m2_speed_baseband,m2_speed_am_demodulated,m3_speed_baseband,m3_speed_am_demodulated,current_task_baseband,current_task_am_demodulated,current_task_duration_baseband,current_task_duration_am_demodulated,current_sub_task_baseband,current_sub_task_am_demodulated,i1_light_barrier_baseband,i1_light_barrier_am_demodulated,i2_light_barrier_baseband,i2_light_barrier_am_demodulated,i3_light_barrier_baseband,i3_light_barrier_am_demodulated,i5_pos_switch_baseband,i5_pos_switch_am_demodulated,i6_pos_switch_baseband,i6_pos_switch_am_demodulated,i7_pos_switch_baseband,i7_pos_switch_am_demodulated,i8_pos_switch_baseband,i8_pos_switch_am_demodulated,m4_speed_baseband,m4_speed_am_demodulated,current_pos_x_baseband,current_pos_x_am_demodulated,current_pos_y_baseband,current_pos_y_am_demodulated,target_pos_x_baseband,target_pos_x_am_demodulated,target_pos_y_baseband,target_pos_y_am_demodulated,amount_of_workpieces_baseband,amount_of_workpieces_am_demodulated,current_state_binary
2023-02-06 14:57:38,0.0,0.392047,0.732115,0.802714,0.535666,0.678175,0.672745,0.805852,0.0,0.397096,0.15501,0.666,0.0,0.376987,0.0,0.366175,0.0,0.743979,0.0,0.743979,0.0,0.218518,1.0,0.826711,0.0,0.420397,0.0,0.265366,0.795399,0.927544,0.025478,0.383098,0.635542,0.745127,0.104884,0.423895,0.263681,0.526191,0.571429,0.677775,1
2023-02-06 14:57:40,0.0,0.318036,0.732115,0.722838,0.485345,0.571178,0.496732,0.711926,0.0,0.346193,0.15509,0.554708,0.0,0.314032,0.0,0.303241,0.0,0.604408,0.0,0.604408,0.0,0.134138,1.0,0.724278,0.0,0.355185,0.0,0.196399,0.889738,0.866958,0.021856,0.322989,0.425942,0.552853,0.084384,0.328369,0.083793,0.359392,0.571429,0.604349,1
2023-02-06 14:57:42,0.0,0.335608,0.732115,0.751422,0.352248,0.530558,0.431432,0.724008,0.0,0.3755,0.155155,0.593941,0.0,0.335232,0.0,0.333344,0.0,0.656457,0.0,0.656457,0.0,0.162332,1.0,0.717678,0.0,0.381895,0.0,0.24552,0.828281,0.855844,0.054019,0.374037,0.194589,0.46107,0.07033,0.341647,0.027155,0.354653,0.571429,0.633431,1
2023-02-06 14:57:44,0.0,0.379109,0.732115,0.795729,0.197711,0.492147,0.482335,0.768546,0.0,0.415379,0.155255,0.654107,0.0,0.384038,0.0,0.372688,0.0,0.732955,0.0,0.732955,0.0,0.208719,1.0,0.77953,0.0,0.420242,0.0,0.265628,0.631874,0.808074,0.134562,0.456977,0.050047,0.417936,0.088954,0.386267,0.058789,0.403859,0.571429,0.676095,1
2023-02-06 14:57:46,0.0,0.33768,0.732115,0.747801,0.093292,0.38386,0.544174,0.70585,0.0,0.360638,0.155407,0.589871,0.0,0.329801,0.0,0.32425,0.0,0.648827,0.0,0.648827,0.0,0.160322,1.0,0.742704,0.0,0.37637,0.0,0.230018,0.450686,0.665179,0.255313,0.473017,0.02837,0.326447,0.124214,0.364662,0.106546,0.367906,0.571429,0.62745,1
2023-02-06 14:57:48,0.0,0.343323,0.732115,0.746775,0.055421,0.347515,0.533489,0.659283,0.0,0.348327,0.155542,0.5897,0.0,0.326334,0.0,0.316131,0.0,0.645768,0.0,0.645768,0.0,0.160904,1.0,0.773615,0.0,0.372096,0.0,0.213721,0.410644,0.619326,0.398736,0.543044,0.063459,0.316412,0.124214,0.385949,0.119672,0.372324,0.571429,0.62378,1
2023-02-06 14:57:50,0.0,0.380872,0.732115,0.78195,0.050082,0.368315,0.477787,0.636243,0.0,0.368957,0.155591,0.639516,0.0,0.356266,0.0,0.340907,0.0,0.707,0.0,0.707,0.0,0.198866,1.0,0.836133,0.0,0.399271,0.0,0.231163,0.483607,0.651525,0.551598,0.65226,0.068527,0.347828,0.067207,0.432184,0.092601,0.40256,0.571429,0.655371,1
2023-02-06 14:57:52,0.0,0.401087,0.732115,0.806717,0.054218,0.39965,0.465939,0.630336,0.0,0.382008,0.1556,0.674483,0.0,0.369674,0.0,0.358644,0.0,0.750248,0.0,0.750248,0.0,0.224071,1.0,0.859499,0.0,0.418497,0.0,0.263383,0.530805,0.671768,0.704557,0.754371,0.035214,0.370944,0.019001,0.473418,0.054084,0.418943,0.571429,0.677731,1
2023-02-06 14:57:54,0.0,0.386265,0.732115,0.78415,0.092405,0.412451,0.520861,0.621116,0.0,0.36762,0.155704,0.643669,0.0,0.357619,0.0,0.339992,0.0,0.711127,0.0,0.711127,0.0,0.201843,1.0,0.85138,0.0,0.399542,0.0,0.226202,0.464625,0.621225,0.84201,0.80984,0.03598,0.366472,0.092648,0.505838,0.045109,0.396263,0.571429,0.656544,1
2023-02-06 14:57:56,0.0,0.386331,0.732115,0.792794,0.198596,0.483729,0.548767,0.653108,0.0,0.378225,0.155937,0.65439,0.0,0.361731,0.0,0.350757,0.0,0.725765,0.0,0.725765,0.0,0.208643,1.0,0.833473,0.0,0.408471,0.0,0.25287,0.339902,0.591059,0.941217,0.87779,0.131018,0.433005,0.333604,0.620847,0.096389,0.430333,0.571429,0.666004,1
