segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_am_demodulated,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_am_demodulated,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_am_demodulated,i3_photoresistor_rms_baseband,i3_photoresistor_rms_am_demodulated,i3_photoresistor_mean_baseband,i3_photoresistor_mean_am_demodulated,i3_photoresistor_variance_baseband,i3_photoresistor_variance_am_demodulated,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
23,2023-02-06T14:19:40.000000000,2023-02-06T14:20:38.000000000,0.002063,0.454964,0.003708,0.455702,0.333333,0.515447,0.148312,0.285725,0.151256,0.294614,0.001138,0.392579,0.151256,0.294614,0.0,0.75106,0.0,0.75106,0.0,0.75106,0.0,0.75106,0.0,0.75106,0.0,0.75106,0.0,0.75106,1
24,2023-02-06T14:20:10.000000000,2023-02-06T14:21:08.000000000,0.000122,0.392397,0.000109,0.394403,0.0,0.410827,0.14667,0.203558,0.149649,0.214158,8e-06,0.333468,0.149649,0.214158,0.0,0.638818,0.0,0.638818,0.0,0.638818,0.0,0.638818,0.0,0.638818,0.0,0.638818,0.0,0.638818,1
25,2023-02-06T14:20:40.000000000,2023-02-06T14:21:38.000000000,0.000106,0.396485,0.000124,0.39786,0.0,0.428689,0.144967,0.218127,0.147947,0.228775,0.000199,0.336658,0.147947,0.228775,0.0,0.66166,0.0,0.66166,0.0,0.66166,0.0,0.66166,0.0,0.66166,0.0,0.66166,0.0,0.66166,1
26,2023-02-06T14:21:10.000000000,2023-02-06T14:22:08.000000000,0.000313,0.374146,0.000564,0.373305,0.0,0.388882,0.144396,0.207166,0.147105,0.217921,0.010124,0.326053,0.147105,0.217921,0.0,0.642879,0.0,0.642879,0.0,0.642879,0.0,0.642879,0.0,0.642879,0.0,0.642879,0.0,0.642879,1
27,2023-02-06T14:21:40.000000000,2023-02-06T14:22:38.000000000,0.025802,0.360849,0.046212,0.36427,0.333333,0.404168,0.146657,0.174486,0.149272,0.186004,0.013471,0.307474,0.149272,0.186004,0.0,0.596609,0.0,0.596609,0.0,0.596609,0.0,0.596609,0.0,0.596609,0.0,0.596609,0.0,0.596609,1
28,2023-02-06T14:22:10.000000000,2023-02-06T14:23:08.000000000,0.002384,0.404408,0.003742,0.408141,0.0,0.463082,0.15554,0.242732,0.158011,0.252905,0.018666,0.346446,0.158011,0.252905,0.0,0.675145,0.0,0.675145,0.0,0.675145,0.0,0.675145,0.0,0.675145,0.0,0.675145,0.0,0.675145,1
29,2023-02-06T14:22:40.000000000,2023-02-06T14:23:38.000000000,0.0195,0.42463,0.017314,0.424075,0.0,0.427455,0.175531,0.258408,0.177722,0.26835,0.030128,0.360471,0.177722,0.26835,0.0,0.678687,0.0,0.678687,0.0,0.678687,0.0,0.678687,0.0,0.678687,0.0,0.678687,0.0,0.678687,1
30,2023-02-06T14:23:10.000000000,2023-02-06T14:24:08.000000000,0.022339,0.514199,0.020334,0.513525,0.0,0.505479,0.206815,0.377789,0.208737,0.38591,0.043375,0.435648,0.208737,0.38591,0.0,0.819343,0.0,0.819343,0.0,0.819343,0.0,0.819343,0.0,0.819343,0.0,0.819343,0.0,0.819343,1
31,2023-02-06T14:23:40.000000000,2023-02-06T14:24:38.000000000,0.002035,0.448388,0.002103,0.448788,0.0,0.472002,0.233106,0.343669,0.235543,0.351908,0.014047,0.389712,0.235543,0.351908,0.0,0.730635,0.0,0.730635,0.0,0.730635,0.0,0.730635,0.0,0.730635,0.0,0.730635,0.0,0.730635,1
32,2023-02-06T14:24:10.000000000,2023-02-06T14:25:08.000000000,0.010275,0.373378,0.010904,0.37413,0.0,0.477319,0.253666,0.272861,0.255933,0.282237,0.021343,0.324861,0.255933,0.282237,0.0,0.601382,0.0,0.601382,0.0,0.601382,0.0,0.601382,0.0,0.601382,0.0,0.601382,0.0,0.601382,1
33,2023-02-06T14:24:40.000000000,2023-02-06T14:25:38.000000000,0.000341,0.421215,0.000372,0.422161,0.666667,0.511569,0.266351,0.348239,0.268914,0.35637,0.000287,0.36643,0.268914,0.35637,0.0,0.689925,0.0,0.689925,0.0,0.689925,0.0,0.689925,0.0,0.689925,0.0,0.689925,0.0,0.689925,1
34,2023-02-06T14:25:10.000000000,2023-02-06T14:26:08.000000000,0.000483,0.308269,0.000321,0.309506,0.0,0.306371,0.270347,0.230967,0.272884,0.240945,0.001072,0.273747,0.272884,0.240945,0.0,0.50924,0.0,0.50924,0.0,0.50924,0.0,0.50924,0.0,0.50924,0.0,0.50924,0.0,0.50924,1
35,2023-02-06T14:25:40.000000000,2023-02-06T14:26:38.000000000,0.000136,0.318593,0.000152,0.320092,0.0,0.368035,0.270256,0.250151,0.272752,0.259996,0.003782,0.283125,0.272752,0.259996,0.0,0.535184,0.0,0.535184,0.0,0.535184,0.0,0.535184,0.0,0.535184,0.0,0.535184,0.0,0.535184,1
36,2023-02-06T14:26:10.000000000,2023-02-06T14:27:08.000000000,0.016536,0.369624,0.015487,0.370465,0.0,0.423569,0.252159,0.291806,0.254284,0.30117,0.030335,0.323697,0.254284,0.30117,0.0,0.611267,0.0,0.611267,0.0,0.611267,0.0,0.611267,0.0,0.611267,0.0,0.611267,0.0,0.611267,1
37,2023-02-06T14:26:40.000000000,2023-02-06T14:27:38.000000000,0.001377,0.344083,0.001626,0.344581,0.0,0.369131,0.243776,0.247271,0.246168,0.257533,0.015151,0.299432,0.246168,0.257533,0.0,0.56225,0.0,0.56225,0.0,0.56225,0.0,0.56225,0.0,0.56225,0.0,0.56225,0.0,0.56225,1
38,2023-02-06T14:27:10.000000000,2023-02-06T14:28:08.000000000,0.012211,0.427266,0.009814,0.428056,0.0,0.475559,0.259283,0.356561,0.261607,0.365403,0.01696,0.367395,0.261607,0.365403,0.0,0.717541,0.0,0.717541,0.0,0.717541,0.0,0.717541,0.0,0.717541,0.0,0.717541,0.0,0.717541,1
39,2023-02-06T14:27:40.000000000,2023-02-06T14:28:38.000000000,0.007455,0.421906,0.006024,0.422078,0.0,0.436021,0.255979,0.329302,0.258176,0.338424,0.025444,0.364695,0.258176,0.338424,0.0,0.690291,0.0,0.690291,0.0,0.690291,0.0,0.690291,0.0,0.690291,0.0,0.690291,0.0,0.690291,1
40,2023-02-06T14:28:10.000000000,2023-02-06T14:29:08.000000000,0.012037,0.428406,0.010559,0.428425,0.0,0.445871,0.230874,0.319608,0.232882,0.32838,0.038629,0.376688,0.232882,0.32838,0.0,0.696455,0.0,0.696455,0.0,0.696455,0.0,0.696455,0.0,0.696455,0.0,0.696455,0.0,0.696455,1
41,2023-02-06T14:28:40.000000000,2023-02-06T14:29:38.000000000,0.014578,0.453751,0.014704,0.454553,0.0,0.470281,0.204508,0.329881,0.206784,0.338314,0.025501,0.393976,0.206784,0.338314,0.0,0.734186,0.0,0.734186,0.0,0.734186,0.0,0.734186,0.0,0.734186,0.0,0.734186,0.0,0.734186,1
42,2023-02-06T14:29:10.000000000,2023-02-06T14:30:08.000000000,2.2e-05,0.37964,6.4e-05,0.38055,0.0,0.390901,0.189685,0.228073,0.192507,0.237847,0.000462,0.332593,0.192507,0.237847,0.0,0.605872,0.0,0.605872,0.0,0.605872,0.0,0.605872,0.0,0.605872,0.0,0.605872,0.0,0.605872,1
43,2023-02-06T14:29:40.000000000,2023-02-06T14:30:38.000000000,0.000435,0.375319,0.000429,0.376475,0.0,0.419118,0.185111,0.234729,0.187934,0.244214,0.001124,0.33566,0.187934,0.244214,0.0,0.62284,0.0,0.62284,0.0,0.62284,0.0,0.62284,0.0,0.62284,0.0,0.62284,0.0,0.62284,1
44,2023-02-06T14:30:10.000000000,2023-02-06T14:31:08.000000000,0.00016,0.378587,0.000268,0.379094,0.0,0.399711,0.17582,0.209819,0.178318,0.219533,0.016719,0.342216,0.178318,0.219533,0.0,0.61252,0.0,0.61252,0.0,0.61252,0.0,0.61252,0.0,0.61252,0.0,0.61252,0.0,0.61252,1
45,2023-02-06T14:30:40.000000000,2023-02-06T14:31:38.000000000,0.024019,0.386212,0.020589,0.384589,0.0,0.404139,0.148987,0.18908,0.149794,0.198045,0.080758,0.36529,0.149794,0.198045,0.0,0.611392,0.0,0.611392,0.0,0.611392,0.0,0.611392,0.0,0.611392,0.0,0.611392,0.0,0.611392,1
46,2023-02-06T14:31:10.000000000,2023-02-06T14:32:08.000000000,0.027695,0.365644,0.024008,0.363583,0.0,0.392814,0.109432,0.144464,0.110334,0.153786,0.061846,0.345112,0.110334,0.153786,0.0,0.579776,0.0,0.579776,0.0,0.579776,0.0,0.579776,0.0,0.579776,0.0,0.579776,0.0,0.579776,1
47,2023-02-06T14:31:40.000000000,2023-02-06T14:32:38.000000000,0.010643,0.350135,0.008281,0.348666,0.0,0.369139,0.078321,0.1048,0.080175,0.115415,0.028339,0.31852,0.080175,0.115415,0.0,0.556742,0.0,0.556742,0.0,0.556742,0.0,0.556742,0.0,0.556742,0.0,0.556742,0.0,0.556742,1
48,2023-02-06T14:32:10.000000000,2023-02-06T14:33:08.000000000,0.001053,0.406988,0.001282,0.405302,0.0,0.433041,0.072616,0.175523,0.074899,0.184833,0.018575,0.371486,0.074899,0.184833,0.0,0.661319,0.0,0.661319,0.0,0.661319,0.0,0.661319,0.0,0.661319,0.0,0.661319,0.0,0.661319,1
