segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
20,2023-02-06T14:18:10.000000000,2023-02-06T14:19:08.000000000,0.0,0.271985,0.0,0.276453,0.0,0.134179,0.813854,0.691664,0.889665,0.713112,0.0,0.235154,0.889665,0.713112,0.0,0.315161,0.0,0.321423,0.0,0.295466,0.0,0.322341,0.079554,0.35197,0.0,0.322537,0.0,0.332997,0.0,0.242441,0.0,0.239429,0.0,0.245338,0.0,0.170257,0.005896,0.246919,0.0,0.200003,0.0,0.24399,1
21,2023-02-06T14:18:40.000000000,2023-02-06T14:19:38.000000000,0.0,0.238129,0.0,0.242343,0.0,0.163319,0.813854,0.646146,0.889665,0.669518,0.0,0.221103,0.889665,0.669518,0.0,0.304816,0.0,0.31093,0.0,0.301478,0.0,0.324757,0.079554,0.346059,0.0,0.3189,0.0,0.334561,0.0,0.229383,0.0,0.229075,0.0,0.232111,0.0,0.173078,0.005896,0.247668,0.0,0.188821,0.0,0.24452,1
22,2023-02-06T14:19:10.000000000,2023-02-06T14:20:08.000000000,0.0,0.289116,0.0,0.286108,0.0,0.16159,0.813854,0.678414,0.889665,0.695388,0.0,0.251427,0.889665,0.695388,0.0,0.334415,0.0,0.341557,0.0,0.32184,0.0,0.354944,0.079554,0.382301,0.0,0.356361,0.0,0.365149,0.0,0.24875,0.0,0.240896,0.0,0.21914,0.0,0.197101,0.005896,0.267334,0.0,0.22082,0.0,0.264582,1
23,2023-02-06T14:19:40.000000000,2023-02-06T14:20:38.000000000,0.0,0.379897,0.0,0.388286,0.0,0.257238,0.813854,0.814495,0.889665,0.831889,0.0,0.315537,0.889665,0.831889,0.0,0.395642,0.0,0.404144,0.0,0.378684,0.0,0.410002,0.079554,0.436334,0.0,0.404381,0.0,0.42332,0.0,0.325254,0.0,0.328432,0.0,0.332875,0.0,0.291694,0.005896,0.368236,0.0,0.303564,0.0,0.364843,1
24,2023-02-06T14:20:10.000000000,2023-02-06T14:21:08.000000000,0.0,0.302544,0.0,0.303583,0.0,0.162698,0.813854,0.710946,0.889665,0.728927,0.0,0.257919,0.889665,0.728927,0.0,0.337261,0.0,0.344303,0.0,0.322759,0.0,0.352751,0.079554,0.382192,0.0,0.353869,0.0,0.363719,0.0,0.261699,0.0,0.256278,0.0,0.245305,0.0,0.203822,0.005896,0.276246,0.0,0.2313,0.0,0.273392,1
25,2023-02-06T14:20:40.000000000,2023-02-06T14:21:38.000000000,0.0,0.309122,0.0,0.314802,0.0,0.155982,0.813854,0.736725,0.889665,0.756501,0.0,0.259012,0.889665,0.756501,0.0,0.336857,0.0,0.343665,0.0,0.313218,0.0,0.341728,0.079554,0.373239,0.0,0.34213,0.0,0.353361,0.0,0.266493,0.0,0.264028,0.0,0.268682,0.0,0.198277,0.005896,0.27565,0.0,0.228364,0.0,0.272654,1
26,2023-02-06T14:21:10.000000000,2023-02-06T14:22:08.000000000,0.0,0.282858,0.0,0.292178,0.0,0.124788,0.813854,0.72128,0.889665,0.744309,0.0,0.238743,0.889665,0.744309,0.0,0.317458,0.0,0.32352,0.0,0.284255,0.0,0.310945,0.079554,0.343446,0.0,0.31071,0.0,0.322412,0.0,0.247749,0.0,0.247694,0.0,0.270736,0.0,0.163755,0.005896,0.246612,0.0,0.196346,0.0,0.24352,1
27,2023-02-06T14:21:40.000000000,2023-02-06T14:22:38.000000000,0.0,0.255848,0.0,0.259888,0.0,0.067091,0.813854,0.680207,0.889665,0.701719,0.0,0.216319,0.889665,0.701719,0.0,0.284335,0.0,0.289682,0.0,0.255597,0.0,0.283288,0.079554,0.319971,0.0,0.288772,0.0,0.293723,0.0,0.218346,0.0,0.210129,0.0,0.208279,0.0,0.117162,0.005896,0.195575,0.0,0.16666,0.0,0.192772,1
28,2023-02-06T14:22:10.000000000,2023-02-06T14:23:08.000000000,0.0,0.303812,0.0,0.315446,0.0,0.125609,0.813854,0.753955,0.889665,0.777145,0.0,0.250675,0.889665,0.777145,0.0,0.328987,0.0,0.335191,0.0,0.282125,0.0,0.311828,0.079554,0.346667,0.0,0.311694,0.0,0.324021,0.0,0.256902,0.0,0.2583,0.0,0.290973,0.0,0.16747,0.005896,0.255064,0.0,0.200856,0.0,0.25185,1
29,2023-02-06T14:22:40.000000000,2023-02-06T14:23:38.000000000,0.0,0.320782,0.0,0.32693,0.0,0.12648,0.813854,0.755916,0.889665,0.774857,0.0,0.262074,0.889665,0.774857,0.0,0.329393,0.0,0.33597,0.0,0.298359,0.0,0.329316,0.079554,0.366005,0.0,0.333086,0.0,0.34131,0.0,0.265081,0.0,0.259538,0.0,0.257958,0.0,0.180877,0.005896,0.259626,0.0,0.223887,0.0,0.256636,1
