timestamp,i3_photoresistor_baseband,i3_photoresistor_am_demodulated,current_state_binary
2023-02-06 14:12:32,0.160173,0.398451,1
2023-02-06 14:12:34,0.161279,0.412194,1
2023-02-06 14:12:36,0.159568,0.486667,1
2023-02-06 14:12:38,0.152457,0.471388,1
2023-02-06 14:12:40,0.142355,0.469099,1
2023-02-06 14:12:42,0.135068,0.463924,1
2023-02-06 14:12:44,0.134015,0.448813,1
2023-02-06 14:12:46,0.13662,0.503284,1
2023-02-06 14:12:48,0.137359,0.483935,1
2023-02-06 14:12:50,0.134342,0.44695,1
2023-02-06 14:12:52,0.131856,0.453573,1
2023-02-06 14:12:54,0.135401,0.403551,1
2023-02-06 14:12:56,0.144702,0.420378,1
2023-02-06 14:12:58,0.152866,0.472091,1
2023-02-06 14:13:00,0.153027,0.45301,1
2023-02-06 14:13:02,0.145225,0.454154,1
2023-02-06 14:13:04,0.135936,0.469012,1
2023-02-06 14:13:06,0.131365,0.444151,1
2023-02-06 14:13:08,0.132005,0.414501,1
2023-02-06 14:13:10,0.133857,0.421852,1
2023-02-06 14:13:12,0.133634,0.419757,1
2023-02-06 14:13:14,0.131652,0.385551,1
2023-02-06 14:13:16,0.130027,0.394726,1
2023-02-06 14:13:18,0.129543,0.393679,1
2023-02-06 14:13:20,0.129179,0.361965,1
2023-02-06 14:13:22,0.128026,0.407191,1
2023-02-06 14:13:24,0.126589,0.411104,1
2023-02-06 14:13:26,0.126027,0.356253,1
2023-02-06 14:13:28,0.126666,0.397809,1
2023-02-06 14:13:30,0.127641,0.389444,1
2023-02-06 14:13:32,0.127756,0.35577,1
2023-02-06 14:13:34,0.126363,0.451274,1
2023-02-06 14:13:36,0.123844,0.445723,1
2023-02-06 14:13:38,0.121538,0.390603,1
2023-02-06 14:13:40,0.120887,0.452051,1
2023-02-06 14:13:42,0.12196,0.419021,1
2023-02-06 14:13:44,0.122619,0.373566,1
2023-02-06 14:13:46,0.119802,0.421911,1
2023-02-06 14:13:48,0.112341,0.395418,1
2023-02-06 14:13:50,0.10254,0.386273,1
2023-02-06 14:13:52,0.094623,0.422372,1
2023-02-06 14:13:54,0.091282,0.422451,1
2023-02-06 14:13:56,0.091654,0.425353,1
2023-02-06 14:13:58,0.092873,0.418448,1
2023-02-06 14:14:00,0.092909,0.400856,1
2023-02-06 14:14:02,0.091784,0.372605,1
2023-02-06 14:14:04,0.090496,0.379529,1
2023-02-06 14:14:06,0.089526,0.4211,1
2023-02-06 14:14:08,0.088729,0.422284,1
2023-02-06 14:14:10,0.088105,0.447824,1
2023-02-06 14:14:12,0.087853,0.432611,1
2023-02-06 14:14:14,0.087733,0.364364,1
2023-02-06 14:14:16,0.087074,0.386514,1
2023-02-06 14:14:18,0.08559,0.381915,1
2023-02-06 14:14:20,0.084024,0.344605,1
2023-02-06 14:14:22,0.083369,0.361546,1
2023-02-06 14:14:24,0.083567,0.379093,1
2023-02-06 14:14:26,0.083579,0.434956,1
2023-02-06 14:14:28,0.082838,0.477065,1
