segment_idx,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_am_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_am_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_am_demodulated,m3_speed_rms_baseband,m3_speed_rms_am_demodulated,m3_speed_mean_baseband,m3_speed_mean_am_demodulated,m3_speed_variance_baseband,m3_speed_variance_am_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
49,0.000356,0.274061,0.000313,0.249246,1.0,0.670702,0.874044,0.625639,0.925149,0.642175,0.000585,0.28679,0.925149,0.642175,0.0,0.273946,0.0,0.289627,0.0,0.17561,0.0,0.248123,0.03199,0.262953,0.0,0.251559,0.0,0.246835,0.000159,0.32175,0.000193,0.303322,1.0,0.67022,0.99052,0.67662,0.993763,0.679143,0.00024,0.303995,0.993763,0.679143,5e-06,0.213374,5e-06,0.20096,1.0,0.786141,0.002401,0.141577,0.003134,0.236164,1.5e-05,0.130088,0.001065,0.235693,0.000199,0.270234,0.000179,0.267105,1.0,0.717992,0.026479,0.246172,0.0,0.239591,0.000844,0.247285,0.025356,0.254849,1
50,0.0,0.401806,0.0,0.388631,0.0,0.385052,0.875007,0.715182,0.925953,0.720827,1e-06,0.358657,0.925953,0.720827,0.0,0.328546,0.0,0.346554,0.0,0.256795,0.0,0.323179,0.03199,0.333171,0.0,0.322447,0.0,0.323473,0.0,0.406835,0.0,0.407854,0.0,0.362287,0.992017,0.744519,0.994875,0.745797,0.0,0.359922,0.994875,0.745797,0.0,0.238419,0.0,0.22899,0.0,0.334281,0.0,0.199187,0.003327,0.276572,0.0,0.174916,0.0,0.274666,0.0,0.388156,0.0,0.389169,0.0,0.313355,0.00124,0.356491,0.006037,0.369489,2e-06,0.370279,0.00074,0.368271,1
51,0.0,0.522909,0.0,0.517481,0.0,0.461284,0.875147,0.832743,0.92606,0.833193,0.0,0.433295,0.92606,0.833193,0.0,0.404939,0.0,0.427241,0.0,0.399994,0.0,0.43996,0.03199,0.438325,0.0,0.429564,0.0,0.444446,0.0,0.513572,0.0,0.533544,0.0,0.426344,0.992017,0.849344,0.994875,0.850225,0.0,0.430224,0.994875,0.850225,0.0,0.343998,0.0,0.337094,0.0,0.246397,0.000798,0.33427,0.003283,0.399634,2e-06,0.295727,0.000296,0.39692,0.0,0.518257,0.0,0.523795,0.0,0.384175,0.0,0.49017,0.006772,0.506909,0.0,0.503072,0.0,0.506168,1
52,0.0,0.393018,0.0,0.379102,0.0,0.475024,0.875147,0.689494,0.92606,0.692066,0.0,0.354107,0.92606,0.692066,0.0,0.446267,0.0,0.459534,0.0,0.363025,0.0,0.439052,0.03199,0.438362,0.0,0.43437,0.0,0.437564,0.0,0.418232,0.0,0.425878,0.0,0.434072,0.992017,0.697079,0.994875,0.69633,0.0,0.37133,0.994875,0.69633,3.3e-05,0.364585,3e-05,0.327283,1.0,0.515702,0.013731,0.323909,0.004248,0.367311,0.000485,0.305873,0.00692,0.36657,0.0,0.404093,0.0,0.395627,0.0,0.398376,0.0,0.451152,0.006772,0.452214,0.0,0.445509,0.0,0.455414,1
53,0.0,0.461122,0.0,0.46206,0.0,0.660563,0.875288,0.72829,0.926168,0.726584,2e-06,0.384774,0.926168,0.726584,0.0,0.371316,0.0,0.391026,0.0,0.605227,0.00668,0.485573,0.029969,0.438599,4.8e-05,0.443535,0.006825,0.502504,0.0,0.466021,0.0,0.50235,0.0,0.631086,0.992004,0.728566,0.994866,0.728912,2e-06,0.387062,0.994866,0.728912,0.345033,0.553778,0.327403,0.54648,0.333333,0.606229,0.645533,0.619064,0.422049,0.637669,0.776096,0.581634,0.42012,0.637214,0.0,0.487421,0.0,0.49681,0.0,0.624799,0.000741,0.48334,0.006304,0.493017,1e-06,0.484725,0.00051,0.496195,1
54,7.9e-05,0.453451,6.9e-05,0.450677,1.0,0.862333,0.878453,0.722912,0.928482,0.719435,0.000822,0.383415,0.928482,0.719435,0.000955,0.614377,0.000673,0.62069,1.0,0.853666,0.15385,0.649464,0.0,0.581443,0.025832,0.604056,0.203244,0.660826,0.000102,0.463643,0.00012,0.488624,1.0,0.799225,0.990578,0.705464,0.993667,0.704059,0.001311,0.404597,0.993667,0.704059,0.796263,0.88461,0.793141,0.829471,0.666667,0.684027,0.904753,0.815828,0.810586,0.861932,1.0,0.7903,0.809954,0.861731,7e-06,0.468624,7e-06,0.446527,1.0,0.872919,0.013734,0.610143,0.005643,0.602286,0.00023,0.580037,0.012887,0.610707,1
55,0.201632,0.600776,0.254127,0.62793,0.666667,0.709387,0.895126,0.767429,0.926585,0.748641,0.123824,0.451022,0.926585,0.748641,1.0,1.0,0.921417,1.0,0.666667,0.702211,0.999849,0.996108,0.973103,0.990305,0.999832,1.0,0.973734,0.98029,0.1819,0.59485,0.263438,0.680243,0.333333,0.510132,0.917935,0.677696,0.915427,0.672059,0.190656,0.494922,0.915427,0.672059,0.838218,1.0,0.651434,0.841179,0.333333,0.520644,0.709179,0.82113,0.547208,0.805723,0.792935,0.815168,0.545697,0.805234,0.284454,0.662056,0.210442,0.609743,0.333333,0.526128,0.819221,0.994688,0.771292,0.989119,0.688301,0.930368,0.769733,0.991824,1
56,0.201632,0.641409,0.259723,0.672314,0.666667,0.665566,0.891279,0.811786,0.923706,0.792966,0.123055,0.476049,0.923706,0.792966,0.32564,0.780524,0.310977,0.792088,0.333333,0.5044,0.988367,1.0,1.0,1.0,0.969252,0.991872,1.0,1.0,0.349198,0.71108,0.542188,0.849279,0.666667,0.582853,0.919247,0.724007,0.916457,0.718377,0.190211,0.517436,0.916457,0.718377,0.069643,0.692602,0.06966,0.60463,0.333333,0.45985,0.317678,0.721261,0.15836,0.667132,0.21941,0.651198,0.155551,0.665711,0.509604,0.796038,0.563798,0.804095,0.333333,0.436478,0.819478,1.0,0.766429,1.0,0.690455,0.944516,0.764837,1.0,1
57,7.9e-05,0.38596,7.3e-05,0.390912,1.0,0.590864,0.874332,0.600974,0.925428,0.596962,9.1e-05,0.330204,0.925428,0.596962,0.000252,0.359731,0.000174,0.374005,1.0,0.455208,0.028204,0.576084,0.028917,0.560379,0.000871,0.552316,0.034519,0.587536,0.000247,0.469416,0.000274,0.546446,1.0,0.586614,0.991903,0.576162,0.99475,0.573362,0.000339,0.355995,0.99475,0.573362,2.3e-05,0.338942,2.5e-05,0.329605,1.0,0.490417,0.006067,0.40487,0.003979,0.411127,9.4e-05,0.340317,0.002804,0.410159,0.000173,0.49309,0.000155,0.515669,1.0,0.486798,0.024696,0.567745,0.000574,0.5607,0.000735,0.536752,0.023637,0.56449,1
58,0.0,0.416467,0.0,0.41723,0.0,0.480791,0.875058,0.672426,0.925992,0.673439,0.0,0.352421,0.925992,0.673439,0.0,0.436491,0.0,0.449801,0.0,0.420155,0.0,0.427775,0.03199,0.4315,0.0,0.425764,0.0,0.424842,0.0,0.406176,0.0,0.426458,0.0,0.406327,0.992075,0.677461,0.994917,0.677872,0.0,0.359387,0.994917,0.677872,0.0,0.394604,0.0,0.351043,0.0,0.412946,0.0,0.358901,0.003327,0.393228,0.0,0.341642,0.0,0.391937,0.0,0.412165,0.0,0.399981,0.0,0.386917,0.001136,0.44813,0.006098,0.45972,1e-06,0.446264,0.000678,0.461548,1
