segment_idx,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
20,0.0,0.307627,0.0,0.305062,0.0,0.364298,0.664887,0.575268,0.776751,0.676526,0.0,0.327264,0.776751,0.676526,0.0,0.390376,0.0,0.368248,0.0,0.290985,0.0,0.339895,0.044168,0.33396,0.0,0.337285,0.0,0.323477,0.0,0.614369,0.0,0.614369,0.0,0.614369,0.0,0.614369,0.0,0.614369,0.0,0.614369,0.0,0.614369,1
21,0.0,0.299237,0.0,0.299494,0.0,0.360316,0.664887,0.551571,0.776751,0.640468,0.0,0.330941,0.776751,0.640468,0.0,0.368495,0.0,0.347052,0.0,0.299376,0.0,0.341865,0.044168,0.327413,0.0,0.33235,0.0,0.321174,0.0,0.572249,0.0,0.572249,0.0,0.572249,0.0,0.572249,0.0,0.572249,0.0,0.572249,0.0,0.572249,1
22,0.0,0.314331,0.0,0.312861,0.0,0.378041,0.664887,0.548763,0.776751,0.638928,0.0,0.34484,0.776751,0.638928,0.0,0.415952,0.0,0.396122,0.0,0.316783,0.0,0.370372,0.044168,0.359598,0.0,0.366457,0.0,0.350176,0.0,0.609569,0.0,0.609569,0.0,0.609569,0.0,0.609569,0.0,0.609569,0.0,0.609569,0.0,0.609569,1
23,0.0,0.392421,0.0,0.393681,0.0,0.434788,0.664887,0.699139,0.776751,0.806042,0.0,0.423154,0.776751,0.806042,0.0,0.48002,0.0,0.451269,0.0,0.377708,0.0,0.431668,0.044168,0.411668,0.0,0.422802,0.0,0.404827,0.0,0.75106,0.0,0.75106,0.0,0.75106,0.0,0.75106,0.0,0.75106,0.0,0.75106,0.0,0.75106,1
24,0.0,0.32606,0.0,0.324117,0.0,0.382965,0.664887,0.583589,0.776751,0.681747,0.0,0.350341,0.776751,0.681747,0.0,0.419353,0.0,0.397411,0.0,0.317384,0.0,0.368958,0.044168,0.360026,0.0,0.365541,0.0,0.349812,0.0,0.638818,0.0,0.638818,0.0,0.638818,0.0,0.638818,0.0,0.638818,0.0,0.638818,0.0,0.638818,1
25,0.0,0.330919,0.0,0.328292,0.0,0.381714,0.664887,0.612467,0.776751,0.719324,0.0,0.348996,0.776751,0.719324,0.0,0.418393,0.0,0.39429,0.0,0.308884,0.0,0.360872,0.044168,0.354302,0.0,0.358963,0.0,0.343336,0.0,0.66166,0.0,0.66166,0.0,0.66166,0.0,0.66166,0.0,0.66166,0.0,0.66166,0.0,0.66166,1
26,0.0,0.313473,0.0,0.310007,0.0,0.363234,0.664887,0.60632,0.776751,0.717019,0.0,0.326265,0.776751,0.717019,0.0,0.393303,0.0,0.368698,0.0,0.28102,0.0,0.332836,0.044168,0.329703,0.0,0.332709,0.0,0.318216,0.0,0.642879,0.0,0.642879,0.0,0.642879,0.0,0.642879,0.0,0.642879,0.0,0.642879,0.0,0.642879,1
27,0.0,0.282325,0.0,0.275221,0.0,0.334822,0.664887,0.543408,0.776751,0.653351,0.0,0.284389,0.776751,0.653351,0.0,0.370084,0.0,0.349738,0.0,0.247697,0.0,0.304732,0.044168,0.309449,0.0,0.310541,0.0,0.294913,0.0,0.596609,0.0,0.596609,0.0,0.596609,0.0,0.596609,0.0,0.596609,0.0,0.596609,0.0,0.596609,1
28,0.0,0.323521,0.0,0.319452,0.0,0.367927,0.664887,0.634791,0.776751,0.753014,0.0,0.333036,0.776751,0.753014,0.0,0.408636,0.0,0.382247,0.0,0.280147,0.0,0.338371,0.044168,0.336268,0.0,0.340829,0.0,0.324094,0.0,0.675145,0.0,0.675145,0.0,0.675145,0.0,0.675145,0.0,0.675145,0.0,0.675145,0.0,0.675145,1
29,0.0,0.328965,0.0,0.32325,0.0,0.373284,0.664887,0.614399,0.776751,0.730392,0.0,0.334428,0.776751,0.730392,0.0,0.422682,0.0,0.398724,0.0,0.291905,0.0,0.352882,0.044168,0.352036,0.0,0.356946,0.0,0.338468,0.0,0.678687,0.0,0.678687,0.0,0.678687,0.0,0.678687,0.0,0.678687,0.0,0.678687,0.0,0.678687,1
