segment_idx,m2_speed_psd_peak_baseband,m2_speed_psd_peak_original_bits,m2_speed_psd_peak_psk_recovered,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_original_bits,m2_speed_psd_mean_energy_psk_recovered,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_original_bits,m2_speed_psd_peak_freq_psk_recovered,m2_speed_rms_baseband,m2_speed_rms_original_bits,m2_speed_rms_psk_recovered,m2_speed_mean_baseband,m2_speed_mean_original_bits,m2_speed_mean_psk_recovered,m2_speed_variance_baseband,m2_speed_variance_original_bits,m2_speed_variance_psk_recovered,m2_speed_fft_peak_baseband,m2_speed_fft_peak_original_bits,m2_speed_fft_peak_psk_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_psk_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_psk_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_psk_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_psk_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_psk_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_psk_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
41,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
42,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
43,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.000904,0,0,0.043687,0,0,1e-06,0,0,0.000504,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
44,0.0,0,0,0.0,0,0,0.333333,0,0,0.664932,1,1,0.776788,1,1,3e-06,0,0,0.776788,1,1,2.1e-05,0,0,1.8e-05,0,0,1.0,1,1,0.029869,0,0,0.03924,0,0,0.000983,0,0,0.036115,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
45,4.3e-05,0,0,5.8e-05,0,0,1.0,1,1,0.658971,1,1,0.770412,1,1,0.00716,0,0,0.770412,1,1,0.016776,0,0,0.024912,0,0,1.0,1,1,0.529834,1,1,0.50364,1,1,0.283001,0,0,0.489621,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
46,0.306407,0,0,0.442168,0,0,0.333333,0,0,0.906105,1,1,0.831469,1,1,0.893048,1,1,0.831469,1,1,0.29947,0,0,0.304599,0,0,0.666667,1,1,0.53041,1,1,0.505324,1,1,0.283476,0,0,0.491119,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
47,0.781394,1,1,0.78855,1,1,0.333333,0,0,0.920001,1,1,0.845288,1,1,0.890819,1,1,0.845288,1,1,0.000496,0,0,0.000374,0,0,1.0,1,1,0.03879,0,0,0.04101,0,0,0.001663,0,0,0.047615,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
48,0.000581,0,0,0.000992,0,0,1.0,1,1,0.675824,1,1,0.784132,1,1,0.009729,0,0,0.784132,1,1,0.0,0,0,0.0,0,0,0.333333,0,0,0.001386,0,0,0.043772,0,0,2e-06,0,0,0.001024,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
49,1e-06,0,0,1e-06,0,0,1.0,1,1,0.664815,1,1,0.776689,1,1,7e-06,0,0,0.776689,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
50,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
