timestamp,i3_pos_switch_baseband,i3_pos_switch_am_demodulated,m2_speed_baseband,m2_speed_am_demodulated,o8_compressor_baseband,o8_compressor_am_demodulated,o5_valve_baseband,o5_valve_am_demodulated,o6_valve_baseband,o6_valve_am_demodulated,current_state_binary
2023-02-06 14:10:02,0.0,0.486853,0.514996,0.708122,0.158068,0.563069,0.0,0.473562,0.0,0.503815,1
2023-02-06 14:10:04,0.0,0.415295,0.514996,0.62464,0.158068,0.486586,0.0,0.404389,0.0,0.429078,1
2023-02-06 14:10:06,0.0,0.435911,0.514996,0.650421,0.158068,0.510719,0.0,0.424129,0.0,0.451187,1
2023-02-06 14:10:08,0.0,0.467508,0.514996,0.685074,0.158068,0.541319,0.0,0.454755,0.0,0.483297,1
2023-02-06 14:10:10,0.0,0.404496,0.514996,0.617533,0.158068,0.476131,0.0,0.393014,0.0,0.4184,1
2023-02-06 14:10:12,0.0,0.426037,0.514996,0.644606,0.158068,0.499201,0.0,0.413631,0.0,0.441004,1
2023-02-06 14:10:14,0.0,0.452569,0.514996,0.673849,0.158068,0.524619,0.0,0.439476,0.0,0.46797,1
2023-02-06 14:10:16,0.0,0.437171,0.514996,0.659196,0.158068,0.511164,0.0,0.424302,0.0,0.45276,1
2023-02-06 14:10:18,0.0,0.443921,0.514996,0.663244,0.158068,0.516187,0.0,0.431243,0.0,0.45912,1
2023-02-06 14:10:20,0.0,0.43102,0.514996,0.647426,0.158068,0.503926,0.0,0.418827,0.0,0.445872,1
2023-02-06 14:10:22,0.0,0.441003,0.514996,0.656742,0.158068,0.515203,0.0,0.428631,0.0,0.456207,1
2023-02-06 14:10:24,0.0,0.463985,0.514996,0.679187,0.158068,0.537416,0.0,0.45122,0.0,0.47937,1
2023-02-06 14:10:26,0.0,0.449929,0.514996,0.665858,0.158068,0.525317,0.0,0.43727,0.0,0.465406,1
2023-02-06 14:10:28,0.0,0.421293,0.514996,0.633176,0.158068,0.493209,0.0,0.409492,0.0,0.435452,1
2023-02-06 14:10:30,0.0,0.416332,0.514996,0.630929,0.158068,0.488548,0.0,0.404558,0.0,0.430659,1
2023-02-06 14:10:32,0.0,0.429105,0.514996,0.648461,0.158068,0.502437,0.0,0.416925,0.0,0.44427,1
2023-02-06 14:10:34,0.0,0.420404,0.514996,0.638047,0.158068,0.491017,0.0,0.408702,0.0,0.434994,1
2023-02-06 14:10:36,0.0,0.432073,0.514996,0.653856,0.158068,0.505873,0.0,0.4199,0.0,0.447579,1
2023-02-06 14:10:38,0.0,0.450146,0.514996,0.670413,0.158068,0.522704,0.0,0.437633,0.0,0.465749,1
2023-02-06 14:10:40,0.0,0.433747,0.514996,0.650507,0.158068,0.506791,0.0,0.421499,0.0,0.448677,1
2023-02-06 14:10:42,0.0,0.453555,0.514996,0.670847,0.158068,0.528434,0.0,0.440527,0.0,0.469009,1
2023-02-06 14:10:44,0.0,0.470155,0.514996,0.685662,0.158068,0.543801,0.0,0.456641,0.0,0.485643,1
2023-02-06 14:10:46,0.0,0.438602,0.514996,0.652998,0.158068,0.513626,0.0,0.425699,0.0,0.453373,1
2023-02-06 14:10:48,0.0,0.441258,0.514996,0.655462,0.158068,0.51407,0.0,0.42856,0.0,0.456007,1
2023-02-06 14:10:50,0.0,0.468923,0.514996,0.689753,0.158068,0.543312,0.0,0.455735,0.0,0.485065,1
2023-02-06 14:10:52,0.0,0.457022,0.514996,0.679813,0.158068,0.531463,0.0,0.444492,0.0,0.47323,1
2023-02-06 14:10:54,0.0,0.449556,0.514996,0.670976,0.158068,0.521312,0.0,0.437657,0.0,0.465491,1
2023-02-06 14:10:56,0.0,0.482795,0.514996,0.710995,0.158068,0.558714,0.0,0.469873,0.0,0.500154,1
2023-02-06 14:10:58,0.0,0.476762,0.514996,0.699976,0.158068,0.550338,0.0,0.463863,0.0,0.493474,1
2023-02-06 14:11:00,0.0,0.440048,0.514996,0.657395,0.158068,0.513311,0.0,0.42761,0.0,0.455171,1
2023-02-06 14:11:02,0.0,0.460134,0.514996,0.67806,0.158068,0.535364,0.0,0.446548,0.0,0.475593,1
2023-02-06 14:11:04,0.0,0.473982,0.514996,0.689423,0.158068,0.547696,0.0,0.459691,0.0,0.489476,1
2023-02-06 14:11:06,0.0,0.456925,0.514996,0.673227,0.158068,0.532806,0.0,0.442871,0.0,0.471945,1
2023-02-06 14:11:08,0.0,0.464204,0.514996,0.680772,0.158068,0.537877,0.0,0.450468,0.0,0.479669,1
2023-02-06 14:11:10,0.0,0.475471,0.514996,0.697041,0.158068,0.550085,0.0,0.46214,0.0,0.491858,1
2023-02-06 14:11:12,0.0,0.474466,0.514996,0.699767,0.158068,0.549721,0.0,0.461932,0.0,0.49136,1
2023-02-06 14:11:14,0.0,0.46948,0.514996,0.693598,0.158068,0.541959,0.0,0.457755,0.0,0.486519,1
2023-02-06 14:11:16,0.0,0.490371,0.514996,0.720115,0.158068,0.566733,0.0,0.477994,0.0,0.508141,1
2023-02-06 14:11:18,0.0,0.518695,0.514996,0.747467,0.158068,0.593952,0.0,0.505152,0.0,0.537138,1
2023-02-06 14:11:20,0.0,0.498921,0.514996,0.723232,0.158068,0.574579,0.0,0.484882,0.0,0.516071,1
2023-02-06 14:11:22,0.0,0.48977,0.514996,0.710879,0.158068,0.566211,0.0,0.474933,0.0,0.505984,1
2023-02-06 14:11:24,0.0,0.502735,0.514996,0.720825,0.158068,0.577434,0.0,0.486877,0.0,0.519066,1
2023-02-06 14:11:26,0.0,0.472907,0.514996,0.690628,0.158068,0.549504,0.0,0.457621,0.0,0.488003,1
2023-02-06 14:11:28,0.0,0.430469,0.514996,0.642425,0.158068,0.502621,0.0,0.417081,0.0,0.444638,1
2023-02-06 14:11:30,0.0,0.445416,0.514996,0.662559,0.158068,0.518831,0.0,0.43266,0.0,0.460626,1
2023-02-06 14:11:32,0.0,0.485182,0.514996,0.711968,0.158068,0.56095,0.0,0.472771,0.0,0.502482,1
2023-02-06 14:11:34,0.0,0.459099,0.514996,0.682599,0.158068,0.531139,0.0,0.448527,0.0,0.476301,1
2023-02-06 14:11:36,0.0,0.45015,0.514996,0.675982,0.158068,0.525083,0.0,0.439799,0.0,0.466739,1
2023-02-06 14:11:38,0.0,0.495425,0.514996,0.721852,0.158068,0.569699,0.0,0.483104,0.0,0.513422,1
2023-02-06 14:11:40,0.0,0.461296,0.514996,0.681025,0.158068,0.535383,0.0,0.448225,0.0,0.477131,1
2023-02-06 14:11:42,0.0,0.466913,0.514996,0.684825,0.158068,0.542345,0.0,0.452189,0.0,0.482035,1
2023-02-06 14:11:44,0.0,0.508292,0.514996,0.726027,0.158068,0.582947,0.0,0.491259,0.0,0.524586,1
2023-02-06 14:11:46,0.0,0.433504,0.514996,0.645648,0.158068,0.508386,0.0,0.418338,0.0,0.44667,1
2023-02-06 14:11:48,0.0,0.419058,0.514996,0.628408,0.158068,0.490368,0.0,0.405204,0.0,0.432644,1
2023-02-06 14:11:50,0.0,0.468732,0.514996,0.689171,0.158068,0.543196,0.0,0.455377,0.0,0.484762,1
2023-02-06 14:11:52,0.0,0.464685,0.514996,0.690138,0.158068,0.539931,0.0,0.4536,0.0,0.481472,1
2023-02-06 14:11:54,0.0,0.470751,0.514996,0.69632,0.158068,0.543203,0.0,0.461006,0.0,0.489051,1
2023-02-06 14:11:56,0.0,0.446558,0.514996,0.672419,0.158068,0.521459,0.0,0.437342,0.0,0.463232,1
2023-02-06 14:11:58,0.0,0.438284,0.514996,0.658315,0.158068,0.510281,0.0,0.428123,0.0,0.454691,1
2023-02-06 14:12:00,0.0,0.4713,0.514996,0.692106,0.158068,0.545758,0.0,0.457902,0.0,0.487462,1
2023-02-06 14:12:02,0.0,0.464998,0.514996,0.681993,0.158068,0.540539,0.0,0.449286,0.0,0.479416,1
2023-02-06 14:12:04,0.0,0.485115,0.514996,0.698683,0.158068,0.55838,0.0,0.467393,0.0,0.500309,1
2023-02-06 14:12:06,0.0,0.482954,0.514996,0.699834,0.158068,0.559772,0.0,0.465153,0.0,0.497018,1
2023-02-06 14:12:08,0.0,0.426786,0.514996,0.636921,0.158068,0.498333,0.0,0.412213,0.0,0.44057,1
2023-02-06 14:12:10,0.0,0.424044,0.514996,0.639318,0.158068,0.49671,0.0,0.411882,0.0,0.438521,1
2023-02-06 14:12:12,0.0,0.443097,0.514996,0.666589,0.158068,0.517667,0.0,0.433339,0.0,0.459295,1
2023-02-06 14:12:14,0.0,0.430634,0.514996,0.652647,0.158068,0.501577,0.0,0.423417,0.0,0.448462,1
2023-02-06 14:12:16,0.0,0.419448,0.514996,0.644582,0.158068,0.494063,0.0,0.412739,0.0,0.435638,1
2023-02-06 14:12:18,0.0,0.449578,0.514996,0.67178,0.158068,0.521858,0.0,0.440485,0.0,0.467232,1
2023-02-06 14:12:20,0.0,0.443998,0.514996,0.661799,0.158068,0.517401,0.0,0.431389,0.0,0.459239,1
2023-02-06 14:12:22,0.0,0.394993,0.514996,0.603274,0.158068,0.467628,0.0,0.380313,0.0,0.406442,1
2023-02-06 14:12:24,0.0,0.426858,0.514996,0.631117,0.158068,0.49687,0.0,0.4091,0.0,0.439669,1
2023-02-06 14:12:26,0.0,0.447147,0.514996,0.658591,0.158068,0.522589,0.0,0.428272,0.0,0.458672,1
2023-02-06 14:12:28,0.0,0.431412,0.514996,0.640377,0.158068,0.502559,0.0,0.415194,0.0,0.444944,1
2023-02-06 14:12:30,0.0,0.442894,0.514996,0.660686,0.158068,0.516313,0.0,0.430406,0.0,0.458126,1
2023-02-06 14:12:32,0.0,0.411377,0.514996,0.633282,0.158068,0.485415,0.0,0.404104,0.0,0.42692,1
2023-02-06 14:12:34,0.0,0.424443,0.514996,0.647225,0.158068,0.495261,0.0,0.419527,0.0,0.443452,1
2023-02-06 14:12:36,0.0,0.484651,0.514996,0.720402,0.158068,0.563042,0.0,0.478408,0.0,0.503651,1
2023-02-06 14:12:38,0.0,0.481504,0.514996,0.70804,0.158068,0.555356,0.0,0.472364,0.0,0.500817,1
2023-02-06 14:12:40,0.0,0.487242,0.514996,0.709144,0.158068,0.562051,0.0,0.473017,0.0,0.503827,1
2023-02-06 14:12:42,0.0,0.489571,0.514996,0.706234,0.158068,0.565664,0.0,0.469988,0.0,0.502737,1
2023-02-06 14:12:44,0.0,0.4852,0.514996,0.692826,0.158068,0.556188,0.0,0.462769,0.0,0.499172,1
2023-02-06 14:12:46,0.0,0.526551,0.514996,0.744815,0.158068,0.604687,0.0,0.502855,0.0,0.538994,1
2023-02-06 14:12:48,0.0,0.509604,0.514996,0.725345,0.158068,0.58289,0.0,0.490591,0.0,0.525675,1
2023-02-06 14:12:50,0.0,0.470721,0.514996,0.691522,0.158068,0.544746,0.0,0.458628,0.0,0.487635,1
2023-02-06 14:12:52,0.0,0.467506,0.514996,0.698509,0.158068,0.544911,0.0,0.461562,0.0,0.485786,1
2023-02-06 14:12:54,0.0,0.423947,0.514996,0.64932,0.158068,0.495026,0.0,0.423077,0.0,0.44571,1
2023-02-06 14:12:56,0.0,0.428441,0.514996,0.662439,0.158068,0.506712,0.0,0.427491,0.0,0.446583,1
2023-02-06 14:12:58,0.0,0.479082,0.514996,0.708123,0.158068,0.553366,0.0,0.472854,0.0,0.500276,1
2023-02-06 14:13:00,0.0,0.46802,0.514996,0.688146,0.158068,0.542154,0.0,0.454414,0.0,0.48396,1
2023-02-06 14:13:02,0.0,0.476409,0.514996,0.690496,0.158068,0.55158,0.0,0.455102,0.0,0.487555,1
2023-02-06 14:13:04,0.0,0.503391,0.514996,0.707182,0.158068,0.572204,0.0,0.475749,0.0,0.516566,1
2023-02-06 14:13:06,0.0,0.477676,0.514996,0.685807,0.158068,0.552699,0.0,0.450111,0.0,0.484645,1
2023-02-06 14:13:08,0.0,0.454237,0.514996,0.659523,0.158068,0.52324,0.0,0.432567,0.0,0.467096,1
2023-02-06 14:13:10,0.0,0.449977,0.514996,0.668852,0.158068,0.52367,0.0,0.437726,0.0,0.465698,1
2023-02-06 14:13:12,0.0,0.435829,0.514996,0.669225,0.158068,0.515042,0.0,0.434545,0.0,0.454232,1
2023-02-06 14:13:14,0.0,0.407903,0.514996,0.63839,0.158068,0.480651,0.0,0.41459,0.0,0.43458,1
2023-02-06 14:13:16,0.0,0.406713,0.514996,0.648081,0.158068,0.489459,0.0,0.41347,0.0,0.426508,1
2023-02-06 14:13:18,0.0,0.420443,0.514996,0.645732,0.158068,0.493539,0.0,0.41968,0.0,0.442735,1
2023-02-06 14:13:20,0.0,0.4024,0.514996,0.613825,0.156802,0.472591,0.0,0.389821,0.0,0.415759,1
2023-02-06 14:13:22,0.0,0.450436,0.514996,0.655554,0.15588,0.521034,0.0,0.423751,0.0,0.455654,1
