timestamp,i3_pos_switch_baseband,i3_pos_switch_fm_demodulated,m2_speed_baseband,m2_speed_fm_demodulated,o8_compressor_baseband,o8_compressor_fm_demodulated,o5_valve_baseband,o5_valve_fm_demodulated,o6_valve_baseband,o6_valve_fm_demodulated,current_state_binary
2023-02-06 14:10:32,0.0,0.113032,0.514996,0.489816,0.158068,0.135721,0.0,0.135566,0.0,0.162092,1.0
2023-02-06 14:10:34,0.0,0.094219,0.514996,0.474237,0.158068,0.119076,0.0,0.111531,0.0,0.138642,1.0
2023-02-06 14:10:36,0.0,0.124016,0.514996,0.457498,0.158068,0.097946,0.0,0.140952,0.0,0.184614,1.0
2023-02-06 14:10:38,0.0,0.1109,0.514996,0.479101,0.158068,0.137042,0.0,0.137931,0.0,0.159385,1.0
2023-02-06 14:10:40,0.0,0.098179,0.514996,0.51094,0.158068,0.130531,0.0,0.116926,0.0,0.156926,1.0
2023-02-06 14:10:42,0.0,0.139878,0.514996,0.504757,0.158068,0.089288,0.0,0.172884,0.0,0.208333,1.0
2023-02-06 14:10:44,0.0,0.125053,0.514996,0.476015,0.158068,0.118601,0.0,0.154724,0.0,0.191768,1.0
2023-02-06 14:10:46,0.0,0.093217,0.514996,0.472284,0.158068,0.152006,0.0,0.115689,0.0,0.150036,1.0
2023-02-06 14:10:48,0.0,0.124908,0.514996,0.491499,0.158068,0.123194,0.0,0.155446,0.0,0.18185,1.0
2023-02-06 14:10:50,0.0,0.131967,0.514996,0.498673,0.158068,0.096622,0.0,0.150359,0.0,0.200411,1.0
2023-02-06 14:10:52,0.0,0.094591,0.514996,0.484018,0.158068,0.143826,0.0,0.116027,0.0,0.136915,1.0
2023-02-06 14:10:54,0.0,0.111005,0.514996,0.460999,0.158068,0.164686,0.0,0.129774,0.0,0.162303,1.0
2023-02-06 14:10:56,0.0,0.14062,0.514996,0.465764,0.158068,0.105646,0.0,0.159192,0.0,0.208041,1.0
2023-02-06 14:10:58,0.0,0.098395,0.514996,0.505352,0.158068,0.104188,0.0,0.124157,0.0,0.141683,1.0
2023-02-06 14:11:00,0.0,0.089532,0.514996,0.525496,0.158068,0.158351,0.0,0.108105,0.0,0.145123,1.0
2023-02-06 14:11:02,0.0,0.131829,0.514996,0.504119,0.158068,0.143546,0.0,0.163676,0.0,0.196657,1.0
2023-02-06 14:11:04,0.0,0.119214,0.514996,0.477915,0.158068,0.113757,0.0,0.148023,0.0,0.183453,1.0
2023-02-06 14:11:06,0.0,0.10936,0.514996,0.47727,0.158068,0.127352,0.0,0.133274,0.0,0.172667,1.0
2023-02-06 14:11:08,0.0,0.123834,0.514996,0.479819,0.158068,0.141016,0.0,0.153887,0.0,0.180122,1.0
2023-02-06 14:11:10,0.0,0.122004,0.514996,0.47499,0.158068,0.135737,0.0,0.140149,0.0,0.186824,1.0
2023-02-06 14:11:12,0.0,0.105427,0.514996,0.483565,0.158068,0.107946,0.0,0.127374,0.0,0.151887,1.0
2023-02-06 14:11:14,0.0,0.094077,0.514996,0.503202,0.158068,0.102223,0.0,0.112115,0.0,0.139052,1.0
2023-02-06 14:11:16,0.0,0.12239,0.514996,0.511808,0.158068,0.132256,0.0,0.140678,0.0,0.183016,1.0
2023-02-06 14:11:18,0.0,0.121231,0.514996,0.505673,0.158068,0.123298,0.0,0.147921,0.0,0.173707,1.0
2023-02-06 14:11:20,0.0,0.091469,0.514996,0.494824,0.158068,0.091876,0.0,0.110363,0.0,0.147431,1.0
2023-02-06 14:11:22,0.0,0.116926,0.514996,0.479837,0.158068,0.113856,0.0,0.146999,0.0,0.175165,1.0
2023-02-06 14:11:24,0.0,0.13137,0.514996,0.468062,0.158068,0.157783,0.0,0.160861,0.0,0.200604,1.0
2023-02-06 14:11:26,0.0,0.096359,0.514996,0.468327,0.158068,0.15715,0.0,0.119854,0.0,0.155365,1.0
2023-02-06 14:11:28,0.0,0.082508,0.514996,0.470956,0.158068,0.09934,0.0,0.109666,0.0,0.121783,1.0
2023-02-06 14:11:30,0.0,0.137292,0.514996,0.480485,0.158068,0.097341,0.0,0.156587,0.0,0.209009,1.0
2023-02-06 14:11:32,0.0,0.146707,0.514996,0.510433,0.158068,0.16739,0.0,0.171312,0.0,0.208624,1.0
2023-02-06 14:11:34,0.0,0.086282,0.514996,0.524247,0.158068,0.139305,0.0,0.103704,0.0,0.128069,1.0
2023-02-06 14:11:36,0.0,0.127553,0.514996,0.489042,0.158068,0.073241,0.0,0.14619,0.0,0.190383,1.0
2023-02-06 14:11:38,0.0,0.135503,0.514996,0.45798,0.158068,0.14773,0.0,0.162752,0.0,0.192216,1.0
2023-02-06 14:11:40,0.0,0.071419,0.514996,0.499734,0.158068,0.161179,0.0,0.089079,0.0,0.120749,1.0
2023-02-06 14:11:42,0.0,0.146516,0.514996,0.526428,0.158068,0.06813,0.0,0.179065,0.0,0.216668,1.0
2023-02-06 14:11:44,0.0,0.138385,0.514996,0.480337,0.158068,0.140348,0.0,0.168913,0.0,0.210473,1.0
2023-02-06 14:11:46,0.0,0.050378,0.514996,0.432608,0.158068,0.203325,0.0,0.070168,0.0,0.091566,1.0
2023-02-06 14:11:48,0.0,0.124541,0.514996,0.476869,0.158068,0.119749,0.0,0.154049,0.0,0.179556,1.0
2023-02-06 14:11:50,0.0,0.139751,0.514996,0.506389,0.158068,0.085329,0.0,0.159889,0.0,0.213446,1.0
2023-02-06 14:11:52,0.0,0.133336,0.514996,0.468744,0.158068,0.106526,0.0,0.156528,0.0,0.189108,1.0
2023-02-06 14:11:54,0.0,0.136926,0.514996,0.462343,0.158068,0.090114,0.0,0.157418,0.0,0.197067,1.0
2023-02-06 14:11:56,0.0,0.088553,0.514996,0.512867,0.158068,0.146982,0.0,0.104257,0.0,0.137432,1.0
2023-02-06 14:11:58,0.0,0.116276,0.514996,0.53216,0.158068,0.165463,0.0,0.142804,0.0,0.164791,1.0
2023-02-06 14:12:00,0.0,0.116534,0.514996,0.500751,0.158068,0.124606,0.0,0.138104,0.0,0.184887,1.0
2023-02-06 14:12:02,0.0,0.102549,0.514996,0.491721,0.158068,0.156487,0.0,0.13141,0.0,0.154625,1.0
2023-02-06 14:12:04,0.0,0.14052,0.514996,0.504151,0.158068,0.135063,0.0,0.17118,0.0,0.213785,1.0
2023-02-06 14:12:06,0.0,0.104039,0.514996,0.491967,0.158068,0.058432,0.0,0.128529,0.0,0.168585,1.0
2023-02-06 14:12:08,0.0,0.071806,0.514996,0.473448,0.158068,0.106585,0.0,0.097705,0.0,0.104199,1.0
2023-02-06 14:12:10,0.0,0.111587,0.514996,0.481963,0.158068,0.145681,0.0,0.129638,0.0,0.175858,1.0
2023-02-06 14:12:12,0.0,0.123675,0.514996,0.491045,0.158068,0.118125,0.0,0.146254,0.0,0.173979,1.0
2023-02-06 14:12:14,0.0,0.098219,0.514996,0.487469,0.158068,0.107585,0.0,0.1157,0.0,0.143916,1.0
2023-02-06 14:12:16,0.0,0.111566,0.514996,0.480323,0.158068,0.140702,0.0,0.128963,0.0,0.168704,1.0
2023-02-06 14:12:18,0.0,0.153675,0.514996,0.455008,0.158068,0.173839,0.0,0.181294,0.0,0.214119,1.0
2023-02-06 14:12:20,0.0,0.097582,0.514996,0.437267,0.158068,0.119501,0.0,0.117157,0.0,0.160391,1.0
2023-02-06 14:12:22,0.0,0.080778,0.514996,0.485523,0.158068,0.077839,0.0,0.108664,0.0,0.122126,1.0
2023-02-06 14:12:24,0.0,0.142887,0.514996,0.537691,0.158068,0.158122,0.0,0.17417,0.0,0.219497,1.0
2023-02-06 14:12:26,0.0,0.116866,0.514996,0.521789,0.158068,0.15219,0.0,0.143288,0.0,0.188046,1.0
2023-02-06 14:12:28,0.0,0.128211,0.514996,0.486951,0.158068,0.124811,0.0,0.157639,0.0,0.181478,1.0
2023-02-06 14:12:30,0.0,0.124882,0.514996,0.500738,0.158068,0.169582,0.0,0.14466,0.0,0.196652,1.0
2023-02-06 14:12:32,0.0,0.076984,0.514996,0.504184,0.158068,0.102783,0.0,0.09588,0.0,0.106839,1.0
2023-02-06 14:12:34,0.0,0.136211,0.514996,0.465885,0.158068,0.055777,0.0,0.155562,0.0,0.195765,1.0
2023-02-06 14:12:36,0.0,0.145632,0.514996,0.469422,0.158068,0.136175,0.0,0.16521,0.0,0.217147,1.0
2023-02-06 14:12:38,0.0,0.117544,0.514996,0.530395,0.158068,0.113118,0.0,0.142563,0.0,0.161928,1.0
2023-02-06 14:12:40,0.0,0.125766,0.514996,0.521885,0.158068,0.108996,0.0,0.149568,0.0,0.202395,1.0
2023-02-06 14:12:42,0.0,0.099534,0.514996,0.455105,0.158068,0.145212,0.0,0.127887,0.0,0.149248,1.0
2023-02-06 14:12:44,0.0,0.119753,0.514996,0.450612,0.158068,0.077654,0.0,0.149357,0.0,0.185687,1.0
2023-02-06 14:12:46,0.0,0.148662,0.514996,0.479818,0.158068,0.102318,0.0,0.177722,0.0,0.235092,1.0
2023-02-06 14:12:48,0.0,0.107834,0.514996,0.464552,0.158068,0.166096,0.0,0.134763,0.0,0.149931,1.0
2023-02-06 14:12:50,0.0,0.110283,0.514996,0.44756,0.158068,0.116565,0.0,0.129294,0.0,0.17734,1.0
