segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_original_bits,i3_photoresistor_psd_peak_psk_recovered,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_original_bits,i3_photoresistor_psd_mean_energy_psk_recovered,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_original_bits,i3_photoresistor_psd_peak_freq_psk_recovered,i3_photoresistor_rms_baseband,i3_photoresistor_rms_original_bits,i3_photoresistor_rms_psk_recovered,i3_photoresistor_mean_baseband,i3_photoresistor_mean_original_bits,i3_photoresistor_mean_psk_recovered,i3_photoresistor_variance_baseband,i3_photoresistor_variance_original_bits,i3_photoresistor_variance_psk_recovered,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_original_bits,i3_photoresistor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
25,2023-02-06T14:20:40.000000000,2023-02-06T14:21:38.000000000,0.000106,0,0,0.000124,0,0,0.0,0,0,0.144967,0,0,0.147947,0,0,0.000199,0,0,0.147947,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
26,2023-02-06T14:21:10.000000000,2023-02-06T14:22:08.000000000,0.000313,0,0,0.000564,0,0,0.0,0,0,0.144396,0,0,0.147105,0,0,0.010124,0,0,0.147105,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
27,2023-02-06T14:21:40.000000000,2023-02-06T14:22:38.000000000,0.025802,0,0,0.046212,0,0,0.333333,0,0,0.146657,0,0,0.149272,0,0,0.013471,0,0,0.149272,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
28,2023-02-06T14:22:10.000000000,2023-02-06T14:23:08.000000000,0.002384,0,0,0.003742,0,0,0.0,0,0,0.15554,0,0,0.158011,0,0,0.018666,0,0,0.158011,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
29,2023-02-06T14:22:40.000000000,2023-02-06T14:23:38.000000000,0.0195,0,0,0.017314,0,0,0.0,0,0,0.175531,0,0,0.177722,0,0,0.030128,0,0,0.177722,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
30,2023-02-06T14:23:10.000000000,2023-02-06T14:24:08.000000000,0.022339,0,0,0.020334,0,0,0.0,0,0,0.206815,0,0,0.208737,0,0,0.043375,0,0,0.208737,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
31,2023-02-06T14:23:40.000000000,2023-02-06T14:24:38.000000000,0.002035,0,0,0.002103,0,0,0.0,0,0,0.233106,0,0,0.235543,0,0,0.014047,0,0,0.235543,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
32,2023-02-06T14:24:10.000000000,2023-02-06T14:25:08.000000000,0.010275,0,0,0.010904,0,0,0.0,0,0,0.253666,0,0,0.255933,0,0,0.021343,0,0,0.255933,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
33,2023-02-06T14:24:40.000000000,2023-02-06T14:25:38.000000000,0.000341,0,0,0.000372,0,0,0.666667,1,1,0.266351,0,0,0.268914,0,0,0.000287,0,0,0.268914,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
34,2023-02-06T14:25:10.000000000,2023-02-06T14:26:08.000000000,0.000483,0,0,0.000321,0,0,0.0,0,0,0.270347,0,0,0.272884,0,0,0.001072,0,0,0.272884,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
35,2023-02-06T14:25:40.000000000,2023-02-06T14:26:38.000000000,0.000136,0,0,0.000152,0,0,0.0,0,0,0.270256,0,0,0.272752,0,0,0.003782,0,0,0.272752,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
36,2023-02-06T14:26:10.000000000,2023-02-06T14:27:08.000000000,0.016536,0,0,0.015487,0,0,0.0,0,0,0.252159,0,0,0.254284,0,0,0.030335,0,0,0.254284,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
37,2023-02-06T14:26:40.000000000,2023-02-06T14:27:38.000000000,0.001377,0,0,0.001626,0,0,0.0,0,0,0.243776,0,0,0.246168,0,0,0.015151,0,0,0.246168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
38,2023-02-06T14:27:10.000000000,2023-02-06T14:28:08.000000000,0.012211,0,0,0.009814,0,0,0.0,0,0,0.259283,0,0,0.261607,0,0,0.01696,0,0,0.261607,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
39,2023-02-06T14:27:40.000000000,2023-02-06T14:28:38.000000000,0.007455,0,0,0.006024,0,0,0.0,0,0,0.255979,0,0,0.258176,0,0,0.025444,0,0,0.258176,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
40,2023-02-06T14:28:10.000000000,2023-02-06T14:29:08.000000000,0.012037,0,0,0.010559,0,0,0.0,0,0,0.230874,0,0,0.232882,0,0,0.038629,0,0,0.232882,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
41,2023-02-06T14:28:40.000000000,2023-02-06T14:29:38.000000000,0.014578,0,0,0.014704,0,0,0.0,0,0,0.204508,0,0,0.206784,0,0,0.025501,0,0,0.206784,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
42,2023-02-06T14:29:10.000000000,2023-02-06T14:30:08.000000000,2.2e-05,0,0,6.4e-05,0,0,0.0,0,0,0.189685,0,0,0.192507,0,0,0.000462,0,0,0.192507,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
43,2023-02-06T14:29:40.000000000,2023-02-06T14:30:38.000000000,0.000435,0,0,0.000429,0,0,0.0,0,0,0.185111,0,0,0.187934,0,0,0.001124,0,0,0.187934,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
44,2023-02-06T14:30:10.000000000,2023-02-06T14:31:08.000000000,0.00016,0,0,0.000268,0,0,0.0,0,0,0.17582,0,0,0.178318,0,0,0.016719,0,0,0.178318,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
