timestamp,i4_light_barrier_baseband,i4_light_barrier_fm_demodulated,m1_speed_baseband,m1_speed_fm_demodulated,m2_speed_baseband,m2_speed_fm_demodulated,m3_speed_baseband,m3_speed_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,i1_light_barrier_baseband,i1_light_barrier_fm_demodulated,i2_light_barrier_baseband,i2_light_barrier_fm_demodulated,i3_light_barrier_baseband,i3_light_barrier_fm_demodulated,i5_pos_switch_baseband,i5_pos_switch_fm_demodulated,i6_pos_switch_baseband,i6_pos_switch_fm_demodulated,i7_pos_switch_baseband,i7_pos_switch_fm_demodulated,i8_pos_switch_baseband,i8_pos_switch_fm_demodulated,m4_speed_baseband,m4_speed_fm_demodulated,current_pos_x_baseband,current_pos_x_fm_demodulated,current_pos_y_baseband,current_pos_y_fm_demodulated,target_pos_x_baseband,target_pos_x_fm_demodulated,target_pos_y_baseband,target_pos_y_fm_demodulated,amount_of_workpieces_baseband,amount_of_workpieces_fm_demodulated,current_state_binary
2023-02-06 14:40:00,0.0,0.24428,0.727727,0.756546,0.489668,0.59764,0.512272,0.553324,0.0,0.071184,0.156029,0.253595,0.0,0.210329,0.0,0.267924,0.0,0.168113,0.0,0.168113,1.0,0.846346,1.0,0.66664,0.0,0.150517,1.0,0.907572,0.306569,0.394615,0.687216,0.821889,0.164023,0.214464,0.668159,0.607678,0.159729,0.12381,0.571429,0.602153,1.0
2023-02-06 14:40:02,0.0,0.162903,0.732115,0.684714,0.470579,0.664944,0.770945,0.583187,0.0,0.174345,0.155723,0.236406,0.0,0.121086,0.0,0.246332,0.0,0.082156,0.0,0.082156,1.0,0.749325,1.0,0.637467,0.0,0.265584,1.0,0.929056,0.368538,0.384917,0.686696,0.791582,0.199202,0.173357,0.624916,0.583057,0.184415,0.204089,0.571429,0.548763,1.0
2023-02-06 14:40:04,0.0,0.181552,0.735154,0.666472,0.482086,0.702627,0.831437,0.439479,0.0,0.17812,0.15447,0.154399,0.0,0.176542,0.0,0.184229,0.0,0.108036,0.0,0.108036,1.0,0.745485,1.0,0.647239,0.0,0.249868,1.0,0.907443,0.446272,0.467644,0.68985,0.773106,0.203828,0.250618,0.624916,0.617255,0.205478,0.224403,0.571429,0.522004,1.0
2023-02-06 14:40:06,0.0,0.226262,0.733638,0.708225,0.49725,0.685178,0.687905,0.323249,0.0,0.11876,0.152747,0.179261,0.0,0.210584,0.0,0.230976,0.0,0.15524,0.0,0.15524,1.0,0.809497,1.0,0.69278,0.0,0.240488,1.0,0.894256,0.492943,0.511161,0.690975,0.794967,0.192853,0.256931,0.654919,0.638335,0.218714,0.19846,0.571429,0.549946,1.0
2023-02-06 14:40:08,0.0,0.199969,0.730911,0.748849,0.49497,0.647047,0.501399,0.303492,0.0,0.126715,0.151424,0.219559,0.0,0.195831,0.0,0.248996,0.0,0.141378,0.0,0.141378,1.0,0.818566,1.0,0.662065,0.0,0.183,1.0,0.932658,0.496595,0.498164,0.689687,0.821273,0.186972,0.222708,0.671399,0.633326,0.219663,0.181879,0.571429,0.583086,1.0
2023-02-06 14:40:10,0.0,0.188126,0.730637,0.739857,0.48474,0.629444,0.426155,0.352003,0.0,0.15771,0.151008,0.228545,0.0,0.181223,0.0,0.246042,0.0,0.12851,0.0,0.12851,1.0,0.82057,1.0,0.608242,0.0,0.221949,1.0,0.946402,0.478265,0.484933,0.689028,0.802687,0.190822,0.213525,0.65622,0.623632,0.212703,0.173091,0.571429,0.585694,1.0
2023-02-06 14:40:12,0.0,0.164545,0.732115,0.700597,0.484674,0.624873,0.471625,0.399018,0.0,0.198444,0.151267,0.245576,0.0,0.169516,0.0,0.243973,0.0,0.106867,0.0,0.106867,1.0,0.782573,1.0,0.64792,0.0,0.269403,1.0,0.89298,0.464702,0.502483,0.6898,0.769984,0.195911,0.191866,0.63282,0.638382,0.208311,0.166263,0.571429,0.570498,1.0
2023-02-06 14:40:14,0.0,0.163119,0.733436,0.680566,0.492735,0.623407,0.535598,0.408074,0.0,0.250654,0.151584,0.230881,0.0,0.191554,0.0,0.205191,0.0,0.105839,0.0,0.105839,1.0,0.561577,1.0,0.701728,0.0,0.218625,1.0,0.896718,0.466285,0.519499,0.689886,0.766394,0.196049,0.176276,0.63282,0.672262,0.21111,0.181615,0.571429,0.565679,1.0
2023-02-06 14:40:16,0.0,0.211727,0.732754,0.705869,0.492669,0.642186,0.539003,0.371883,0.0,0.283511,0.151593,0.184533,0.0,0.328658,0.0,0.229196,0.0,0.147175,0.0,0.147175,1.0,0.27828,1.0,0.628873,0.0,0.265702,1.0,0.96156,0.477299,0.502936,0.688557,0.79695,0.193522,0.225248,0.656268,0.67353,0.215683,0.196047,0.571429,0.573512,1.0
2023-02-06 14:40:18,0.0,0.197224,0.7316,0.751985,0.482439,0.67171,0.49869,0.320137,0.307692,0.319929,0.151402,0.214278,0.28,0.397589,0.0,0.255613,0.0,0.132936,0.0,0.132936,0.0,0.239846,1.0,0.639933,0.0,0.159672,1.0,0.904875,0.486077,0.483503,0.688294,0.82329,0.19241,0.244977,0.67151,0.612744,0.21527,0.173522,0.571429,0.569867,0.0
