timestamp,i1_pos_switch,i2_pos_switch,i3_pos_switch,i4_light_barrier,m1_speed,m2_speed,m3_speed,o7_valve,o8_compressor,current_task,current_task_duration,current_sub_task,failure_label,i1_light_barrier,i2_light_barrier,i3_light_barrier,i5_pos_switch,i6_pos_switch,i7_pos_switch,i8_pos_switch,m4_speed,current_pos_x,current_pos_y,target_pos_x,target_pos_y,amount_of_workpieces,i1_pos,i2_pos,i3_photoresistor,i5_joystick_x_f,i6_joystick_y_f,i7_joystick_x_b,i8_joystick_y_b,i2_color_sensor,i6_light_barrier,i7_light_barrier,i8_light_barrier,o5_valve,o6_valve,i5_light_barrier,i4_pos_switch,i8_color_sensor,o7_compressor_level,o8_valve_open,current_pos_z,target_pos_z,current_state_binary
2023-02-06 14:43:46,,,,0.0,0.5,0.7212197939222961,0.943010548067643,,,7.0,0.00022751170385803613,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5432124341932418,0.3648212260186341,0.3643351000065556,0.28216228304675706,0.38015457036480493,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:48,,,,0.0,0.49508713044256625,0.8703012101232048,0.7450156064325106,,,7.0,0.00025042221490607425,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4699896314606786,0.25236864271224424,0.3776623209605971,0.11979279677264511,0.3927176314760214,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:50,,,,0.0,0.4963171572972949,0.8432919891969621,0.5323499834101773,,,7.0,0.00027361955614540405,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.31136313940083965,0.11998721781986442,0.43144634596093473,-0.004230094911228919,0.3916128984993235,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:52,,,,0.0,0.5044406744624932,0.6746285846298676,0.36364132958035433,,,7.0,0.0002970501185196709,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.165005998418785,0.024103678167235427,0.5307578870051982,-0.03591123856817926,0.4059250826457567,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:54,,,,0.0,0.5086280284947211,0.5072766196858841,0.2403324269633646,,,7.0,0.0003203721125239568,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15198458737503454,-0.01048322059410204,0.6596188283792144,-0.0033454332548822504,0.49475592552866593,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:56,,,,0.0,0.5,0.45020239970620174,0.21240317420498808,,,7.0,0.00034358461013330263,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.29091932323819164,-0.0017901422409867583,0.7789535115060137,0.02704423229400753,0.6605336781376291,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:58,,,,0.0,0.48760786415063323,0.4864119162814074,0.35483599652188225,,,0.0,0.0003668576345466446,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4723042241352592,0.014418054086968942,0.855417781287773,0.02254117277614148,0.8265572606495938,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:00,,,,0.0,0.4907911666159347,0.520504183422676,0.6437151923430675,,,0.0,0.0003913207719292731,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5687734269185237,0.01645169011778749,0.8856544602922655,0.002554718736166721,0.910903970778444,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:02,,,,0.0,0.511149767144139,0.5012445261282514,0.914412193309506,,,0.0,0.0004156096004901456,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5504565230904719,0.007012515523933331,0.8891863132352538,-0.0030514597161220938,0.9079320938521632,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:04,,,,0.0,0.5221112219404552,0.47554775051067993,0.9848212204220771,,,0.0,0.0004381468963545627,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.48651680655426593,-1.3684839559743223e-06,0.8862424157341314,0.006904249492595407,0.8814888445719763,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:06,,,,0.0,0.5,0.5180889363152862,0.806564628324894,,,0.0,0.0004595190733788398,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45599979058586637,0.0026880560308783215,0.8879247529107709,0.012998876643534696,0.8849006988158625,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:08,,,,0.0,0.46426509538656974,0.6271855112268125,0.48680691806369436,,,0.0,0.00048270649884900796,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4785236231437546,0.010068937552643929,0.8981211155284533,0.007358371140701538,0.9085653462529774,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:10,,,,0.0,0.4697848355919549,0.7116658035076564,0.19314920264717242,,,0.0,0.0005091555014416994,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5203854884574631,0.012513804368971017,0.9114068040272553,0.0017699986951469377,0.912263804698286,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:12,,,,0.0,0.5461588134766046,0.6842171268409452,0.0640535333468615,,,0.0,0.0005351915163585145,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5386577888394121,0.006769794542112858,0.9109413652985551,0.005678952416169151,0.8888975332152403,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:14,,,,0.0,0.6510136576332214,0.557274356223906,0.17240328057759774,,,0.0,0.0005558144702525818,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5134831934457341,-0.0002577717684750108,0.8828271239328286,0.011139358910673462,0.8714412134957593,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:16,,,,0.0,0.7002617090293508,0.4380497560419014,0.49235893485417165,,,0.0,0.0005731726381245287,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.46260048690766103,0.0012707688766445634,0.8370522739829644,0.007203694517763721,0.8750322166731261,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:18,,,,0.0,0.6510136576332213,0.42661935464507456,0.8662580317493149,,,0.0,0.0005965431376540388,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4420227709909404,0.011895125828974104,0.8000929437426483,-7.201015432272583e-05,0.8540461282377291,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:20,,,,0.0,0.5461588134766046,0.5168836367105816,1.061790411870463,,,0.0,0.0006293198477237397,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5137742646946408,0.01878543166979737,0.7734520265735327,0.004812030717386649,0.73737966187948,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:22,,,,0.0,0.4697848355919549,0.5929385615649818,0.9481685658852166,,,0.0,0.0006600776395625845,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.680502236627337,0.008940039315151926,0.7083414892124087,0.020021751956020507,0.5073377333398603,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:24,,,,0.0,0.46426509538656974,0.5312740793280039,0.6384842126931458,,,0.0,0.0006755467109130506,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8480154126249657,-0.010108596316895731,0.5454162522737103,0.021249079719767233,0.23218544266579727,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:44:26,,,,0.0,0.5,0.32091690758753105,0.40876351825798857,,,0.0,0.0006826985116355649,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.882133000672951,-0.0058985668130542325,0.29163467260544873,-0.0043163453543072616,0.01570325768702268,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,1.0
