segment_start,segment_end,segment_idx,current_state_binary,i3_photoresistor_psd_peak,i3_photoresistor_psd_mean_energy,i3_photoresistor_psd_peak_freq,i3_photoresistor_rms,i3_photoresistor_mean,i3_photoresistor_variance,i3_photoresistor_fft_peak,current_task_duration_psd_peak,current_task_duration_psd_mean_energy,current_task_duration_psd_peak_freq,current_task_duration_rms,current_task_duration_mean,current_task_duration_variance,current_task_duration_fft_peak
2023-02-06T14:13:10.000000000,2023-02-06T14:14:08.000000000,10,1,0.000624645135706904,9.806267128623998e-05,0.03125,0.10002019309161617,0.09861651994446814,0.00027882102012649206,2.9584955983340455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:13:40.000000000,2023-02-06T14:14:38.000000000,11,1,0.0008442300702102118,0.00014504833569885356,0.03125,0.07730070083638042,0.07617123712764072,0.00017334098424031305,2.2851371138292214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:14:10.000000000,2023-02-06T14:15:08.000000000,12,1,0.00013872647068287325,3.508173643534227e-05,0.0625,0.0611882527600197,0.06057962560739323,7.411123709212556e-05,1.8173887682217966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:14:40.000000000,2023-02-06T14:15:38.000000000,13,1,0.0007800920864698012,0.00011769851959087588,0.03125,0.04495332354885402,0.04337246719691765,0.00013963038734025643,1.3011740159075291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:15:10.000000000,2023-02-06T14:16:08.000000000,14,1,8.425657525998136e-05,1.7972451724139373e-05,0.03125,0.02881939859176287,0.027468344674640065,7.604777602607642e-05,0.824050340239202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,15,1,0.00040122999512983044,0.00010800835999467694,0.03125,0.017451112924392474,0.013204157743206022,0.0001301915605924306,0.3961247322961806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,16,1,7.305936414147647e-05,1.8419320725405294e-05,0.03125,0.011311265148293418,0.00786971491063315,6.60123064803556e-05,0.23609144731899454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,17,1,0.0005481083919112958,9.523706416074724e-05,0.03125,0.026477890409501915,0.02274868850695057,0.00018357585175132865,0.6824606552085171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,18,1,0.001373104826339662,0.0001954661740621961,0.03125,0.05441572825048479,0.05119863766483226,0.0003397709822958284,1.5359591299449675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,19,1,0.0016631378241071465,0.0002402392248094047,0.03125,0.09121525987805147,0.08860839716932781,0.0004687755857031314,2.6582519150798336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:18:10.000000000,2023-02-06T14:19:08.000000000,20,1,0.001278482659643235,0.00018802672737627346,0.03125,0.12548691848135263,0.12425608276222189,0.0003073926065334973,3.727682482866657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:18:40.000000000,2023-02-06T14:19:38.000000000,21,1,0.00028540206256037157,5.8828421577184464e-05,0.03125,0.14460002192868593,0.14433706629254758,7.597763583717144e-05,4.330111988776428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:19:10.000000000,2023-02-06T14:20:08.000000000,22,1,7.447444379779401e-05,1.1565317978397844e-05,0.03125,0.15369355541006424,0.153592953663697,3.091355944792211e-05,4.607788609910909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:19:40.000000000,2023-02-06T14:20:38.000000000,23,1,0.00015752408948091248,4.857088579317271e-05,0.0625,0.15689078290768255,0.15685519037265755,1.1167014542941204e-05,4.705655711179726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:20:10.000000000,2023-02-06T14:21:08.000000000,24,1,1.7198526420256304e-05,3.3440683204402616e-06,0.03125,0.15527884835930625,0.15527295209190622,1.8310964570196458e-06,4.658188562757187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:20:40.000000000,2023-02-06T14:21:38.000000000,25,1,1.6045031609163423e-05,3.5359702511893554e-06,0.03125,0.1536071088594874,0.15359601016223162,3.4095544140568198e-06,4.607880304866948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:21:10.000000000,2023-02-06T14:22:08.000000000,26,1,3.0997671916705124e-05,9.059747038381947e-06,0.03125,0.1530466895303469,0.15276738894437972,8.541405131500387e-05,4.583021668331391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:21:40.000000000,2023-02-06T14:22:38.000000000,27,1,0.0018736987558670615,0.0005827891549810765,0.0625,0.1552661997623509,0.15490164925503075,0.00011307184671369681,4.647049477650922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:22:10.000000000,2023-02-06T14:23:08.000000000,28,1,0.00018077911794121834,4.900699947500845e-05,0.03125,0.16398534975301413,0.1635090295008004,0.00015599220532475083,4.905270885024012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:22:40.000000000,2023-02-06T14:23:38.000000000,29,1,0.001418129733982366,0.00021958633002552394,0.03125,0.18360816873902966,0.182924207415824,0.00025069396899256817,5.487726222474722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:23:10.000000000,2023-02-06T14:24:08.000000000,30,1,0.0016233764103286117,0.00025754200652199446,0.03125,0.2143158306025262,0.21347394983580967,0.00036014798834892755,6.404218495074289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:23:40.000000000,2023-02-06T14:24:38.000000000,31,1,0.0001555389043263547,2.8398194667853717e-05,0.03125,0.2401231729243944,0.23987770801464617,0.00011782337291877258,7.196331240439385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:24:10.000000000,2023-02-06T14:25:08.000000000,32,1,0.0007512376104600274,0.0001390222461492931,0.03125,0.26030411698307815,0.25996176866624326,0.00017811215025866027,7.798853059987296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:24:40.000000000,2023-02-06T14:25:38.000000000,33,1,3.307250512695446e-05,6.646639664793921e-06,0.09375,0.27275507094609414,0.27274749357184497,4.133477085197881e-06,8.18242480715535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:25:10.000000000,2023-02-06T14:26:08.000000000,34,1,4.3291848558700414e-05,6.005303868370724e-06,0.03125,0.2766772114323075,0.27665801802275636,1.0620389677972626e-05,8.299740540682691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:25:40.000000000,2023-02-06T14:26:38.000000000,35,1,1.8242794539120978e-05,3.8853187650940445e-06,0.03125,0.2765878320875614,0.2765281389658988,3.301721895363916e-05,8.295844168976963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:26:10.000000000,2023-02-06T14:27:08.000000000,36,1,0.0012038397240053127,0.00019661379968807343,0.03125,0.2588250061240768,0.2583369429849199,0.0002524076843346292,7.750108289547596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:26:40.000000000,2023-02-06T14:27:38.000000000,37,1,0.00010795815534972729,2.240880899530092e-05,0.03125,0.25059616160062825,0.250342732508178,0.00012695248930703448,7.5102819752453405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:27:10.000000000,2023-02-06T14:28:08.000000000,38,1,0.000891153981268417,0.00012531634573170576,0.03125,0.26581704444818066,0.2655500019093433,0.00014189760511384275,7.966500057280298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:27:40.000000000,2023-02-06T14:28:38.000000000,39,1,0.000547387076360844,7.768831217865171e-05,0.03125,0.2625745392795033,0.2621705387266946,0.00021199730159812794,7.865116161800839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:28:10.000000000,2023-02-06T14:29:08.000000000,40,1,0.0008785899021078869,0.00013468789676275588,0.03125,0.237931574228296,0.23725618800554024,0.0003209352678348667,7.117685640166208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:28:40.000000000,2023-02-06T14:29:38.000000000,41,1,0.0010622860373346696,0.0001867816025036228,0.03125,0.21205133914313407,0.21154977630054414,0.00021246257958617526,6.346493289016325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:29:10.000000000,2023-02-06T14:30:08.000000000,42,1,9.966647499293268e-06,2.7811264821637654e-06,0.03125,0.19750132964486058,0.19748719787449798,5.58188716675651e-06,5.92461593623494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:29:40.000000000,2023-02-06T14:30:38.000000000,43,1,3.9819048770747375e-05,7.368561726193424e-06,0.03125,0.19301193109930276,0.19298329608743908,1.105297790981507e-05,5.789498882623173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:30:10.000000000,2023-02-06T14:31:08.000000000,44,1,1.99556848854508e-05,5.343148585574695e-06,0.03125,0.1838918895583329,0.18351109909825486,0.00013990355308459527,5.505332972947645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
